ppm_norm,asp.4
0.921015,0
0.921045215,0
0.921397,0
0.921779,0
0.922144719,0
0.92216,0
0.922542,0
0.922924,0
0.923244222,0
0.923305,0
0.923687,0
0.924069,0
0.924343726,0
0.92445,0
0.924832,0
0.925214,0
0.925443229,0
0.925595,0
0.925977,0
0.926358,0
0.926542733,0
0.92674,0
0.927122,0
0.927503,0.013495472
0.927642236,0.006512079
0.927885,0.001627192
0.928267,0
0.928648,0
0.92874174,0
0.92903,0.001220624
0.929412,0.001928653
0.929793,0.008372684
0.929841244,0
0.930175,0
0.930557,0
0.930938,0
0.930940747,0
0.93132,0
0.931701,0
0.932040251,0
0.932083,0
0.932465,0
0.932846,0
0.933139754,0
0.933228,0
0.93361,0
0.933991,0
0.934239258,0.018354953
0.934373,0.019614138
0.934755,0.018970679
0.935136,0.005835885
0.935338761,0.001970374
0.935518,0.008737282
0.9359,0.00925082
0.936281,0.006947999
0.936438265,0
0.936663,0
0.937044,0
0.937426,0
0.937537768,0.009733803
0.937808,0.012999648
0.938189,0.014432941
0.938571,0.00561744
0.938637272,0
0.938953,0.002559334
0.939334,0.004429827
0.939716,0.007282478
0.939736776,0
0.940098,0
0.940479,0
0.940836279,0
0.940861,0.003104688
0.941242,0.003095622
0.941624,0.003078346
0.941935783,0
0.942006,0
0.942387,0
0.942769,0
0.943035286,0
0.943151,0
0.943532,0
0.943914,0
0.94413479,0.000943735
0.944296,0.002141447
0.944677,0.002151639
0.945059,0
0.945234293,0
0.945441,0
0.945822,0
0.946204,0
0.946333797,0
0.946585,0.018382521
0.946967,0.02421704
0.947349,0.03086737
0.9474333,0.009545487
0.94773,0.003421786
0.948112,0
0.948494,0
0.948532804,0.003615321
0.948875,0.00479475
0.949257,0.005866214
0.949632308,0
0.949639,0
0.95002,0
0.950402,0
0.950731811,0.000925261
0.950784,0
0.951165,0
0.951547,0
0.951831315,0
0.951928,0
0.95231,0
0.952692,0
0.952930818,0
0.953073,0
0.953455,0.000326331
0.953837,0.005798505
0.954030322,0.003406945
0.954218,0.00020823
0.9546,0
0.954982,0
0.955129825,0
0.955363,0
0.955745,0
0.956126,0
0.956229329,0.001784352
0.956508,0.020175365
0.95689,0.027886984
0.957271,0.016313837
0.957328832,0
0.957653,0
0.958035,0
0.958416,0.009793429
0.958428336,0
0.958798,0
0.95918,0
0.95952784,0
0.959561,0
0.959943,0
0.960325,0
0.960627343,0.003689665
0.960706,0.014204689
0.961088,0.011193386
0.961469,0.00142407
0.961726847,0
0.961851,0
0.962233,0.000318004
0.962614,0.002686365
0.96282635,0
0.962996,0
0.963378,0
0.963759,0
0.963925854,0
0.964141,0
0.964523,0
0.964904,0
0.965025357,0.006353245
0.965286,0.010253308
0.965668,0.0114403
0.966049,0
0.966124861,0
0.966431,0.003458709
0.966812,0.005325791
0.967194,0
0.967224364,0
0.967576,0
0.967957,0
0.968323868,0
0.968339,0
0.968721,0
0.969102,0
0.969423372,0.00145794
0.969484,0.009820032
0.969866,0.006896476
0.970247,0
0.970522875,0
0.970629,0
0.971011,0
0.971392,0
0.971622379,0.005575672
0.971774,0.007667485
0.972155,0.007181335
0.972537,0
0.972721882,0
0.972919,0
0.9733,0
0.973682,0.005113011
0.973821386,0.005358983
0.974064,0.000917657
0.974445,0
0.974827,0
0.974920889,0
0.975209,0.005475052
0.97559,0.007694812
0.975972,0.014672385
0.976020393,0.009757096
0.976353,0.003943357
0.976735,0
0.977117,0
0.977119897,0
0.977498,0.00236569
0.97788,0.004946018
0.9782194,0
0.978262,0
0.978643,0
0.979025,0
0.979318904,0
0.979407,0.010877261
0.979788,0.008231791
0.98017,0
0.980418407,0
0.980552,0
0.980933,0.001029802
0.981315,0.008194776
0.981517911,0
0.981696,0
0.982078,2.31E-05
0.98246,0.002157628
0.982617414,0.016802024
0.982841,0.005588273
0.983223,0.004247439
0.983605,0.001062279
0.983716918,0.018159124
0.983986,0.01805989
0.984368,0.018031188
0.98475,0
0.984816421,0
0.985131,0.005541638
0.985513,0.008420548
0.985895,0.006001231
0.985915925,0
0.986276,0
0.986658,0
0.987015429,0.006778311
0.987039,0.013354358
0.987421,0.011225045
0.987803,0.008338645
0.988114932,0
0.988184,0
0.988566,0
0.988948,0
0.989214436,0
0.989329,0
0.989711,0
0.990093,0
0.990313939,0
0.990474,0
0.990856,0
0.991237,0
0.991413443,0
0.991619,0
0.992001,0
0.992382,0
0.992512946,0
0.992764,0.001019617
0.993146,0.001216233
0.993527,0.012689833
0.99361245,0.012607622
0.993909,0.005271512
0.994291,0.002434159
0.994672,0
0.994711953,0.002040253
0.995054,0.000808216
0.995436,0
0.995811457,0
0.995817,0
0.996199,0
0.99658,0
0.996910961,0
0.996962,0
0.997344,0
0.997725,0
0.998010464,0
0.998107,0
0.998489,0
0.99887,0
0.999109968,0.003256717
0.999252,0.006490864
0.999634,0.005615155
1.00002,0
1.000209471,0
