ppm_norm,ile.7
1.01146,4.771780582
1.01185,4.658021971
1.01223,4.023396853
1.01230401,3.445043254
1.01261,3.053492282
1.01299,2.906185116
1.01337,2.472270392
1.013403514,2.153123801
1.01375,1.998516093
1.01414,1.904532009
1.014503017,1.727348246
1.01452,1.64026416
1.0149,1.634872233
1.01528,1.629280883
1.015602521,1.710137208
1.01566,1.930986398
1.01604,2.063044478
1.01643,2.272906767
1.016702025,2.674582688
1.01681,3.136302753
1.01719,3.271593857
1.01757,3.666415257
1.017801528,4.211957049
1.01795,4.782451708
1.01833,4.893822186
1.01872,5.522379935
1.018901032,6.589380613
1.0191,8.185510904
1.01948,8.235163397
1.01986,10.73144788
1.020000535,14.6072146
1.02024,19.11932155
1.02062,19.53952572
1.02101,24.53009924
1.021100039,28.49010175
1.02139,30.23621535
1.02177,30.71787503
1.02215,30.8693238
1.022199542,28.94925794
1.02253,26.57616308
1.02291,25.45476902
1.023299046,21.22152299
1.0233,17.00964959
1.02368,14.98296778
1.02406,13.31189059
1.024398549,10.39889634
1.02444,8.309145964
1.02482,7.664550227
1.0252,6.855346561
1.025498053,5.794577826
1.02559,4.96531114
1.02597,4.744706984
1.02635,4.259093961
1.026597557,3.602907993
1.02673,3.005528145
1.02711,2.903940269
1.02749,2.516366618
1.02769706,2.136427213
1.02788,1.834211432
1.02826,1.816296596
1.02864,1.600534477
1.028796564,1.428428284
1.02902,1.297904705
1.0294,1.294140366
1.02978,1.19137186
1.029896067,1.131106042
1.03016,1.107731251
1.03055,1.104153933
1.03093,1.090736434
1.030995571,1.086984721
1.03131,1.086759924
1.03169,1.086679398
1.03207,1.070698019
1.032095074,1.035017007
1.03245,1.008815816
1.03284,0.993530669
1.033194578,0.95244167
1.03322,0.912348108
1.0336,0.895536873
1.03398,0.878762536
1.034294082,0.84933438
1.03436,0.816974283
1.03474,0.806238998
1.03513,0.789854874
1.035393585,0.777357528
1.03551,0.768913036
1.03589,0.765635363
1.03627,0.756536983
1.036493089,0.752852189
1.03665,0.766997446
1.03703,0.771726236
1.03742,0.796525981
1.037592592,0.847017268
1.0378,0.920014653
1.03818,0.922077989
1.03856,0.990845496
1.038692096,1.033678604
1.03894,1.045262503
1.03932,1.04620941
1.03971,1.027342098
1.039791599,0.968326851
1.04009,0.898429429
1.04047,0.880230597
1.04085,0.790921415
1.040891103,0.713147601
1.04123,0.667210713
1.04161,0.64644908
1.041990606,0.59402129
1.042,0.554095029
1.04238,0.534839121
1.04276,0.519568391
1.04309011,0.49419309
1.04314,0.480796503
1.04352,0.473814386
1.0439,0.465383946
1.044189614,0.441936783
1.04429,0.425591525
1.04467,0.423745092
1.04505,0.419857301
1.045289117,0.409883682
1.04543,0.396372077
1.04581,0.395212161
1.04619,0.391034355
1.046388621,0.386421881
1.04658,0.37444693
1.04696,0.374068829
1.04734,0.37006533
1.047488124,0.379678416
1.04772,0.384397321
1.0481,0.384485796
1.04848,0.379262256
1.048587628,0.381030204
1.04887,0.390237583
1.04925,0.391806447
1.04963,0.400918049
1.049687131,0.41458148
1.05001,0.434255428
1.05039,0.440958075
1.05077,0.471624254
1.050786635,0.508430361
1.05116,0.547259842
1.05154,0.570582492
1.051886138,0.657858973
1.05192,0.74717652
1.0523,0.786150781
1.05268,0.823570105
1.052985642,0.876549987
1.05306,0.886880792
1.05345,0.872805298
1.05383,0.851254153
1.054085146,0.790503164
1.05421,0.715928972
1.05459,0.69135105
1.05497,0.626381387
1.055184649,0.538695019
1.05535,0.475196119
1.05573,0.467667969
1.05612,0.430853125
